Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,Position,FastF1Generated,IsAccurate,RaceName,Pitted,CompoundEncoded,LapTimeDelta,LapTimeRolling,DegradationFromStintStart,TotalLaps,RacePctComplete,LapsRemaining,IsLateRace
3845.4,ALB,100.625,1.0,1.0,28.883,40.189,35.489,6675.9105,3810.097,3845.518,287.0,287.0,211.0,289.0,False,MEDIUM,2.0,False,3744.519,17.0,False,False,Abu Dhabi,0,1,0.0,100.625,8.857,58.0,0.017241379310344827,57.0,0
3938.96,ALB,93.56,2.0,1.0,18.892,39.357,35.311,3864.323,3903.68,3938.991,286.0,313.0,208.0,319.0,True,MEDIUM,3.0,False,3845.4,18.0,False,True,Abu Dhabi,0,1,-7.064999999999998,97.0925,1.7920000000000016,58.0,0.034482758620689655,56.0,0
4030.728,ALB,91.768,3.0,1.0,18.588,38.312,34.868,3957.579,3995.891,4030.759,290.0,304.0,207.0,325.0,True,MEDIUM,4.0,False,3938.96,18.0,False,True,Abu Dhabi,0,1,-1.7920000000000016,95.31766666666665,0.0,58.0,0.05172413793103448,55.0,0
4122.319,ALB,91.591,4.0,1.0,18.657,38.211,34.723,4049.416,4087.627,4122.35,287.0,298.0,206.0,331.0,True,MEDIUM,5.0,False,4030.728,18.0,False,True,Abu Dhabi,0,1,-0.1770000000000067,92.30633333333333,-0.1770000000000067,58.0,0.06896551724137931,54.0,0
4213.741,ALB,91.422,5.0,1.0,18.605,38.328,34.489,4140.955,4179.283,4213.772,286.0,319.0,205.0,327.0,True,MEDIUM,6.0,False,4122.319,18.0,False,True,Abu Dhabi,0,1,-0.16899999999999693,91.59366666666666,-0.34600000000000364,58.0,0.08620689655172414,53.0,0
4305.232,ALB,91.491,6.0,1.0,18.696,38.325,34.47,4232.468,4270.793,4305.263,286.0,299.0,205.0,322.0,False,MEDIUM,7.0,False,4213.741,18.0,False,True,Abu Dhabi,0,1,0.06900000000000261,91.50133333333333,-0.277000000000001,58.0,0.10344827586206896,52.0,0
4396.67,ALB,91.438,7.0,1.0,18.537,38.553,34.348,4323.8,4362.353,4396.701,287.0,296.0,205.0,323.0,False,MEDIUM,8.0,False,4305.232,18.0,False,True,Abu Dhabi,0,1,-0.05299999999999727,91.45033333333333,-0.3299999999999983,58.0,0.1206896551724138,51.0,0
4488.25,ALB,91.58,8.0,1.0,18.473,38.845,34.262,4415.174,4454.019,4488.281,288.0,301.0,206.0,313.0,False,MEDIUM,9.0,False,4396.67,17.0,False,True,Abu Dhabi,0,1,0.1419999999999959,91.503,-0.1880000000000024,58.0,0.13793103448275862,50.0,0
4579.894,ALB,91.644,9.0,1.0,18.449,38.802,34.393,4506.73,4545.532,4579.925,286.0,299.0,207.0,310.0,False,MEDIUM,10.0,False,4488.25,17.0,False,True,Abu Dhabi,0,1,0.06400000000000716,91.55400000000002,-0.12399999999999523,58.0,0.15517241379310345,49.0,0
4671.872,ALB,91.978,10.0,1.0,18.548,38.802,34.628,4598.473,4637.275,4671.903,285.0,302.0,205.0,310.0,False,MEDIUM,11.0,False,4579.894,17.0,False,True,Abu Dhabi,0,1,0.333999999999989,91.734,0.20999999999999375,58.0,0.1724137931034483,48.0,0
